Date,NPK
1980-03-17,8.388889
1980-03-18,8.333333
1980-03-19,8.333333
1980-03-20,8.444445
1980-03-21,8.444445
1980-03-24,8.0
1980-03-25,7.888889
1980-03-26,7.888889
1980-03-27,7.555555
1980-03-28,7.6666669999999995
1980-03-31,8.0
1980-04-01,7.944445
1980-04-02,7.944445
1980-04-03,8.0
1980-04-07,7.888889
1980-04-08,7.888889
1980-04-09,8.0
1980-04-10,8.111111
1980-04-11,8.277778
1980-04-14,8.388889
1980-04-15,8.277778
1980-04-16,8.166667
1980-04-17,8.055555
1980-04-18,8.055555
1980-04-21,8.055555
1980-04-22,8.444445
1980-04-23,8.555555
1980-04-24,8.666667
1980-04-25,8.555555
1980-04-28,8.5
1980-04-29,8.555555
1980-04-30,8.444445
1980-05-01,8.444445
1980-05-02,8.444445
1980-05-05,8.611111
1980-05-06,8.666667
1980-05-07,8.666667
1980-05-08,8.611111
1980-05-09,8.666667
1980-05-12,8.722222
1980-05-13,8.722222
1980-05-14,9.0
1980-05-15,9.111111
1980-05-16,9.5
1980-05-19,9.611111
1980-05-20,9.5
1980-05-21,9.444445
1980-05-22,9.555555
1980-05-23,9.666667
1980-05-27,9.722222
1980-05-28,9.666667
1980-05-29,9.333333
1980-05-30,9.666667
1980-06-02,9.277778
1980-06-03,9.166667
1980-06-04,9.111111
1980-06-05,9.222222
1980-06-06,9.111111
1980-06-09,8.888889
1980-06-10,9.0
1980-06-11,8.833333
1980-06-12,8.888889
1980-06-13,9.0
1980-06-16,9.166667
1980-06-17,9.166667
1980-06-18,9.111111
1980-06-19,9.111111
1980-06-20,9.111111
1980-06-23,9.111111
1980-06-24,9.222222
1980-06-25,9.166667
1980-06-26,9.277778
1980-06-27,9.111111
1980-06-30,9.055555
1980-07-01,9.222222
1980-07-02,9.222222
1980-07-03,9.333333
1980-07-07,9.555555
1980-07-08,9.611111
1980-07-09,9.611111
1980-07-10,9.5
1980-07-11,9.777778
1980-07-14,9.777778
1980-07-15,9.555555
1980-07-16,9.555555
1980-07-17,9.722222
1980-07-18,9.777778
1980-07-21,9.888889
1980-07-22,9.888889
1980-07-23,9.944445
1980-07-24,9.944445
1980-07-25,9.944445
1980-07-28,9.944445
1980-07-29,10.0
1980-07-30,10.222222
1980-07-31,10.111111
1980-08-01,10.222222
1980-08-04,10.388889
1980-08-05,10.277778
1980-08-06,10.222222
1980-08-07,10.111111
1980-08-08,10.222222
1980-08-11,10.055555
1980-08-12,9.888889
1980-08-13,10.222222
1980-08-14,10.277778
1980-08-15,10.166667
1980-08-18,10.111111
1980-08-19,10.055555
1980-08-20,10.055555
1980-08-21,10.777778
1980-08-22,10.777778
1980-08-25,10.833333
1980-08-26,10.611111
1980-08-27,10.777778
1980-08-28,10.555555
1980-08-29,10.444445
1980-09-02,10.666667
1980-09-03,10.888889
1980-09-04,10.888889
1980-09-05,10.888889
1980-09-08,10.777778
1980-09-09,10.722222
1980-09-10,10.833333
1980-09-11,10.777778
1980-09-12,10.722222
1980-09-15,10.611111
1980-09-16,10.444445
1980-09-17,10.444445
1980-09-18,10.555555
1980-09-19,10.666667
1980-09-22,10.666667
1980-09-23,10.444445
1980-09-24,10.277778
1980-09-25,10.111111
1980-09-26,9.888889
1980-09-29,9.777778
1980-09-30,9.944445
1980-10-01,10.277778
1980-10-02,10.611111
1980-10-03,10.611111
1980-10-06,10.5
1980-10-07,10.555555
1980-10-08,10.555555
1980-10-09,10.388889
1980-10-10,10.166667
1980-10-13,10.277778
1980-10-14,10.388889
1980-10-15,10.388889
1980-10-16,10.333333
1980-10-17,10.333333
1980-10-20,10.166667
1980-10-21,10.222222
1980-10-22,10.222222
1980-10-23,10.166667
1980-10-24,10.277778
1980-10-27,10.277778
1980-10-28,10.0
1980-10-29,10.0
1980-10-30,9.5
1980-10-31,9.611111
1980-11-03,10.5
1980-11-05,11.111111
1980-11-06,10.833333
1980-11-07,10.777778
1980-11-10,10.777778
1980-11-11,10.888889
1980-11-12,11.277778
1980-11-13,11.222222
1980-11-14,11.277778
1980-11-17,11.222222
1980-11-18,11.388889
1980-11-19,11.277778
1980-11-20,11.388889
1980-11-21,11.444445
1980-11-24,11.555555
1980-11-25,11.666667
1980-11-26,11.444445
1980-11-28,11.722222
1980-12-01,11.5
1980-12-02,11.388889
1980-12-03,11.277778
1980-12-04,11.277778
1980-12-05,11.0
1980-12-08,10.777778
1980-12-09,10.5
1980-12-10,10.277778
1980-12-11,10.166667
1980-12-12,10.388889
1980-12-15,10.555555
1980-12-16,10.555555
1980-12-17,10.111111
1980-12-18,10.333333
1980-12-19,10.833333
1980-12-22,11.722222
1980-12-23,11.888889
1980-12-24,11.888889
1980-12-26,11.944445
1980-12-29,11.777778
1980-12-30,10.777778
1980-12-31,11.0
1981-01-02,10.833333
1981-01-05,11.111111
1981-01-06,11.777778
1981-01-07,11.277778
1981-01-08,11.277778
1981-01-09,11.388889
1981-01-12,11.333333
1981-01-13,11.111111
1981-01-14,11.111111
1981-01-15,11.055555
1981-01-16,11.111111
1981-01-19,11.111111
1981-01-20,11.0
1981-01-21,11.0
1981-01-22,10.833333
1981-01-23,10.833333
1981-01-26,10.777778
1981-01-27,10.777778
1981-01-28,10.777778
1981-01-29,10.777778
1981-01-30,11.0
1981-02-02,10.888889
1981-02-03,10.888889
1981-02-04,10.888889
1981-02-05,11.333333
1981-02-06,11.944445
1981-02-09,11.888889
1981-02-10,12.0
1981-02-11,11.944445
1981-02-12,12.055555
1981-02-13,11.944445
1981-02-17,11.722222
1981-02-18,11.611111
1981-02-19,11.611111
1981-02-20,11.611111
1981-02-23,11.444445
1981-02-24,11.666667
1981-02-25,11.777778
1981-02-26,13.166667000000002
1981-02-27,13.166667000000002
1981-03-02,13.444445000000002
1981-03-03,13.111111
1981-03-04,13.166667000000002
1981-03-05,13.166667000000002
1981-03-06,13.222222
1981-03-09,13.333332999999998
1981-03-10,13.611111
1981-03-11,13.444445000000002
1981-03-12,13.555554999999998
1981-03-13,13.555554999999998
1981-03-16,13.833332999999998
1981-03-17,14.222222
1981-03-18,14.277778
1981-03-19,15.222222
1981-03-20,15.222222
1981-03-23,15.5
1981-03-24,14.888889
1981-03-25,15.222222
1981-03-26,15.111111
1981-03-27,15.222222
1981-03-30,15.277778
1981-03-31,15.444445000000002
1981-04-01,15.333332999999998
1981-04-02,15.444445000000002
1981-04-03,15.444445000000002
1981-04-06,15.166667000000002
1981-04-07,15.111111
1981-04-08,15.277778
