Date,UCO
2008-11-25,21730.0
2008-11-26,24900.0
2008-11-28,22400.0
2008-12-01,20020.0
2008-12-02,18500.0
2008-12-03,18120.0
2008-12-04,15700.0
2008-12-05,14490.0
2008-12-08,15920.0
2008-12-09,14560.0
2008-12-10,15640.0
2008-12-11,17850.0
2008-12-12,17740.0
2008-12-15,16580.0
2008-12-16,16130.0
2008-12-17,15150.0
2008-12-18,13350.0
2008-12-19,13600.0
2008-12-22,11890.0
2008-12-23,11410.0
2008-12-24,10690.0
2008-12-26,10450.0
2008-12-29,11810.0
2008-12-30,11730.0
2008-12-31,13690.0
2009-01-02,15660.0
2009-01-05,17160.0
2009-01-06,17500.0
2009-01-07,13750.0
2009-01-08,13710.0
2009-01-09,12950.0
2009-01-12,11700.0
2009-01-13,12430.0
2009-01-14,12010.0
2009-01-15,11270.0
2009-01-16,11060.0
2009-01-20,10170.0
2009-01-21,11710.0
2009-01-22,11080.0
2009-01-23,12730.0
2009-01-26,12600.0
2009-01-27,10600.0
2009-01-28,10700.0
2009-01-29,10320.0
2009-01-30,10360.0
2009-02-02,9790.0
2009-02-03,10040.0
2009-02-04,9690.0
2009-02-05,9960.0
2009-02-06,9650.0
2009-02-09,9560.0
2009-02-10,8710.0
2009-02-11,8200.0
2009-02-12,8100.0
2009-02-13,7530.0
2009-02-17,6250.0
2009-02-18,5850.0
2009-02-19,6550.0
2009-02-20,6470.0
2009-02-23,6220.0
2009-02-24,6680.0
2009-02-25,7280.0
2009-02-26,8010.0
2009-02-27,7850.0
2009-03-02,6490.0
2009-03-03,6940.0
2009-03-04,7900.0
2009-03-05,7460.0
2009-03-06,8180.0
2009-03-09,8290.0
2009-03-10,7860.0
2009-03-11,7060.0
2009-03-12,8060.0
2009-03-13,7740.0
2009-03-16,8080.0
2009-03-17,8700.0
2009-03-18,8850.0
2009-03-19,9300.0
2009-03-20,9550.0
2009-03-23,10170.0
2009-03-24,10020.0
2009-03-25,9830.0
2009-03-26,10270.0
2009-03-27,9530.0
2009-03-30,8210.0
2009-03-31,8420.0
2009-04-01,8130.0
2009-04-02,9450.0
2009-04-03,9460.0
2009-04-06,9010.0
2009-04-07,8350.0
2009-04-08,8550.0
2009-04-09,9190.0
2009-04-13,8650.0
2009-04-14,8400.0
2009-04-15,8430.0
2009-04-16,8350.0
