Date,CACI
1980-03-17,0.47008500000000003
1980-03-18,0.448718
1980-03-19,0.512821
1980-03-20,0.491453
1980-03-21,0.512821
1980-03-24,0.47008500000000003
1980-03-25,0.448718
1980-03-26,0.47008500000000003
1980-03-27,0.405983
1980-03-28,0.47008500000000003
1980-03-31,0.47008500000000003
1980-04-01,0.47008500000000003
1980-04-02,0.47008500000000003
1980-04-03,0.47008500000000003
1980-04-07,0.47008500000000003
1980-04-08,0.448718
1980-04-09,0.47008500000000003
1980-04-10,0.47008500000000003
1980-04-11,0.512821
1980-04-14,0.491453
1980-04-15,0.491453
1980-04-16,0.491453
1980-04-17,0.448718
1980-04-18,0.47008500000000003
1980-04-21,0.491453
1980-04-22,0.491453
1980-04-23,0.555556
1980-04-24,0.555556
1980-04-25,0.555556
1980-04-28,0.555556
1980-04-29,0.555556
1980-04-30,0.555556
1980-05-01,0.555556
1980-05-02,0.512821
1980-05-05,0.512821
1980-05-06,0.512821
1980-05-07,0.512821
1980-05-08,0.512821
1980-05-09,0.512821
1980-05-12,0.512821
1980-05-13,0.512821
1980-05-14,0.555556
1980-05-15,0.534188
1980-05-16,0.534188
1980-05-19,0.512821
1980-05-20,0.512821
1980-05-21,0.512821
1980-05-22,0.555556
1980-05-23,0.576923
1980-05-27,0.555556
1980-05-28,0.555556
1980-05-29,0.555556
1980-05-30,0.555556
1980-06-02,0.555556
1980-06-03,0.555556
1980-06-04,0.555556
1980-06-05,0.555556
1980-06-06,0.555556
1980-06-09,0.555556
1980-06-10,0.555556
1980-06-11,0.544872
1980-06-12,0.534188
1980-06-13,0.534188
1980-06-16,0.555556
1980-06-17,0.555556
1980-06-18,0.555556
1980-06-19,0.534188
1980-06-20,0.534188
1980-06-23,0.555556
1980-06-24,0.555556
1980-06-25,0.555556
1980-06-26,0.566239
1980-06-27,0.566239
1980-06-30,0.555556
1980-07-01,0.555556
1980-07-02,0.555556
1980-07-03,0.534188
1980-07-07,0.566239
1980-07-08,0.555556
1980-07-09,0.555556
1980-07-10,0.555556
1980-07-11,0.555556
1980-07-14,0.555556
1980-07-15,0.566239
1980-07-16,0.576923
1980-07-17,0.608974
1980-07-18,0.630342
1980-07-21,0.619658
1980-07-22,0.619658
1980-07-23,0.619658
1980-07-24,0.619658
1980-07-25,0.619658
1980-07-28,0.619658
1980-07-29,0.630342
1980-07-30,0.726496
1980-07-31,0.726496
1980-08-01,0.726496
1980-08-04,0.726496
1980-08-05,0.705128
1980-08-06,0.747863
1980-08-07,0.726496
1980-08-08,0.705128
1980-08-11,0.705128
1980-08-12,0.705128
1980-08-13,0.705128
1980-08-14,0.705128
1980-08-15,0.833333
1980-08-18,0.833333
1980-08-19,0.918803
1980-08-20,1.004274
1980-08-21,1.004274
1980-08-22,1.089744
1980-08-25,1.132479
1980-08-26,1.132479
1980-08-27,1.111111
1980-08-28,1.089744
1980-08-29,1.068376
1980-09-02,0.811966
1980-09-03,0.8760680000000001
1980-09-04,0.854701
1980-09-05,0.854701
1980-09-08,0.897436
1980-09-09,0.8760680000000001
1980-09-10,0.854701
1980-09-11,0.8760680000000001
1980-09-12,0.8760680000000001
1980-09-15,1.047009
1980-09-16,1.004274
1980-09-17,1.025641
1980-09-18,0.982906
1980-09-19,1.068376
1980-09-22,1.047009
1980-09-23,0.982906
1980-09-24,0.9615379999999999
1980-09-25,0.9401709999999999
