Date,FR
1994-06-24,23.625
1994-06-27,23.625
1994-06-28,23.625
1994-06-29,23.625
1994-06-30,23.625
1994-07-01,23.625
1994-07-05,23.625
1994-07-06,23.5
1994-07-07,23.5
1994-07-08,23.5
1994-07-11,23.5
1994-07-12,23.5
1994-07-13,23.375
1994-07-14,23.625
1994-07-15,23.625
1994-07-18,23.5
1994-07-19,23.25
1994-07-20,23.25
1994-07-21,23.375
1994-07-22,23.375
1994-07-25,23.375
1994-07-26,23.25
1994-07-27,23.0
1994-07-28,22.125
1994-07-29,22.5
1994-08-01,22.625
1994-08-02,22.75
1994-08-03,22.5
1994-08-04,21.875
1994-08-05,21.75
1994-08-08,21.75
1994-08-09,21.5
1994-08-10,21.5
1994-08-11,21.5
1994-08-12,21.0
1994-08-15,21.25
1994-08-16,21.875
1994-08-17,22.375
1994-08-18,22.125
1994-08-19,22.125
1994-08-22,22.125
1994-08-23,22.0
1994-08-24,21.875
1994-08-25,21.75
1994-08-26,21.5
1994-08-29,21.375
1994-08-30,21.75
1994-08-31,22.125
1994-09-01,21.875
1994-09-02,22.0
1994-09-06,21.875
1994-09-07,22.25
1994-09-08,23.125
1994-09-09,23.0
1994-09-12,22.875
1994-09-13,22.75
1994-09-14,22.625
1994-09-15,22.625
1994-09-16,22.625
1994-09-19,22.375
1994-09-20,22.125
1994-09-21,21.5
1994-09-22,21.625
1994-09-23,21.625
1994-09-26,20.625
1994-09-27,21.25
1994-09-28,21.75
1994-09-29,21.375
1994-09-30,21.375
1994-10-03,21.125
1994-10-04,21.0
1994-10-05,20.875
1994-10-06,20.875
1994-10-07,20.875
1994-10-10,21.0
1994-10-11,20.875
1994-10-12,20.75
1994-10-13,20.75
1994-10-14,21.0
1994-10-17,20.875
1994-10-18,20.625
1994-10-19,20.625
1994-10-20,20.625
1994-10-21,20.625
1994-10-24,20.25
1994-10-25,19.875
1994-10-26,19.5
1994-10-27,19.625
1994-10-28,19.375
1994-10-31,19.5
1994-11-01,18.875
1994-11-02,18.5
1994-11-03,18.75
1994-11-04,18.5
1994-11-07,18.0
1994-11-08,17.75
1994-11-09,17.625
1994-11-10,18.0
1994-11-11,18.25
1994-11-14,18.375
1994-11-15,18.75
1994-11-16,18.875
1994-11-17,19.0
1994-11-18,19.125
1994-11-21,18.875
1994-11-22,18.125
1994-11-23,18.0
1994-11-25,18.125
1994-11-28,18.5
1994-11-29,18.5
1994-11-30,18.0
1994-12-01,18.125
1994-12-02,18.375
1994-12-05,18.125
1994-12-06,17.875
1994-12-07,17.875
1994-12-08,17.75
1994-12-09,17.5
1994-12-12,17.5
1994-12-13,17.5
1994-12-14,17.5
1994-12-15,18.0
1994-12-16,19.25
1994-12-19,19.125
1994-12-20,19.375
1994-12-21,19.5
1994-12-22,19.75
1994-12-23,19.25
1994-12-27,18.375
1994-12-28,18.25
1994-12-29,17.875
1994-12-30,19.5
1995-01-03,18.625
1995-01-04,18.875
1995-01-05,18.25
1995-01-06,18.75
1995-01-09,18.75
1995-01-10,18.25
1995-01-11,17.75
1995-01-12,18.0
1995-01-13,18.25
1995-01-16,18.875
1995-01-17,18.375
1995-01-18,18.5
1995-01-19,18.5
1995-01-20,18.375
1995-01-23,18.25
1995-01-24,18.875
1995-01-25,19.0
1995-01-26,19.0
1995-01-27,18.25
1995-01-30,18.75
1995-01-31,18.796875
1995-02-01,18.75
1995-02-02,19.0
1995-02-03,19.375
1995-02-06,19.625
1995-02-07,19.5
1995-02-08,19.5
1995-02-09,19.0
1995-02-10,19.375
1995-02-13,19.25
1995-02-14,19.375
1995-02-15,19.375
1995-02-16,19.375
1995-02-17,19.25
1995-02-21,18.75
1995-02-22,19.0
1995-02-23,19.25
1995-02-24,19.0
1995-02-27,19.0
1995-02-28,19.125
1995-03-01,18.875
1995-03-02,18.875
1995-03-03,19.125
1995-03-06,19.25
1995-03-07,18.875
1995-03-08,19.0
1995-03-09,18.875
1995-03-10,18.875
1995-03-13,19.125
1995-03-14,18.875
1995-03-15,19.0
1995-03-16,19.0
1995-03-17,18.75
1995-03-20,18.75
1995-03-21,18.75
1995-03-22,19.0
1995-03-23,19.25
1995-03-24,19.375
1995-03-27,18.875
1995-03-28,18.625
1995-03-29,18.5
1995-03-30,19.0
1995-03-31,19.0
1995-04-03,18.875
1995-04-04,18.75
1995-04-05,18.375
1995-04-06,18.625
1995-04-07,18.25
1995-04-10,18.125
1995-04-11,18.0
1995-04-12,17.875
1995-04-13,17.75
1995-04-17,18.0
1995-04-18,18.0
1995-04-19,18.0
1995-04-20,17.375
1995-04-21,17.625
1995-04-24,17.875
1995-04-25,17.75
1995-04-26,17.5
1995-04-27,17.5
1995-04-28,17.5
1995-05-01,17.375
1995-05-02,17.875
1995-05-03,17.625
1995-05-04,17.5
1995-05-05,17.5
1995-05-08,18.0
1995-05-09,18.75
1995-05-10,18.5
1995-05-11,18.5
1995-05-12,18.5
1995-05-15,18.5
1995-05-16,18.75
1995-05-17,18.25
1995-05-18,18.75
1995-05-19,18.5
1995-05-22,18.125
1995-05-23,17.875
1995-05-24,18.125
1995-05-25,18.0
1995-05-26,18.25
1995-05-30,18.25
1995-05-31,18.375
1995-06-01,19.0
1995-06-02,19.0
1995-06-05,19.0
1995-06-06,19.0
1995-06-07,19.0
1995-06-08,19.0
1995-06-09,19.0
1995-06-12,19.125
1995-06-13,19.5
1995-06-14,19.625
1995-06-15,20.125
1995-06-16,20.0
1995-06-19,19.875
1995-06-20,19.875
1995-06-21,19.75
1995-06-22,19.875
1995-06-23,19.625
1995-06-26,19.875
1995-06-27,20.125
1995-06-28,19.5
1995-06-29,19.5
1995-06-30,20.5
1995-07-03,20.5
1995-07-05,20.125
1995-07-06,20.0
1995-07-07,19.875
1995-07-10,20.125
1995-07-11,20.375
1995-07-12,20.25
1995-07-13,20.25
1995-07-14,20.375
1995-07-17,20.25
1995-07-18,20.375
1995-07-19,20.375
1995-07-20,20.375
1995-07-21,20.375
1995-07-24,20.375
1995-07-25,20.25
1995-07-26,20.25
1995-07-27,20.375
1995-07-28,20.25
1995-07-31,20.375
1995-08-01,20.125
1995-08-02,20.125
1995-08-03,20.125
1995-08-04,20.125
1995-08-07,20.25
1995-08-08,20.375
1995-08-09,20.25
1995-08-10,20.25
1995-08-11,20.25
1995-08-14,20.125
1995-08-15,19.875
1995-08-16,19.875
1995-08-17,19.75
1995-08-18,19.5
1995-08-21,19.75
1995-08-22,20.0
1995-08-23,19.75
1995-08-24,19.875
1995-08-25,20.0
1995-08-28,19.875
1995-08-29,19.875
1995-08-30,20.0
1995-08-31,19.875
1995-09-01,19.5
1995-09-05,20.125
1995-09-06,20.125
1995-09-07,20.0
1995-09-08,20.0
1995-09-11,20.0
1995-09-12,20.125
1995-09-13,20.0
1995-09-14,19.875
1995-09-15,20.0
1995-09-18,20.0
1995-09-19,19.875
1995-09-20,19.875
1995-09-21,20.0
1995-09-22,20.125
1995-09-25,20.25
1995-09-26,20.375
1995-09-27,19.75
1995-09-28,19.875
1995-09-29,20.0
1995-10-02,19.875
1995-10-03,19.625
1995-10-04,19.75
1995-10-05,19.5
1995-10-06,19.375
1995-10-09,19.625
1995-10-10,19.625
1995-10-11,19.625
1995-10-12,19.75
1995-10-13,19.75
1995-10-16,19.75
1995-10-17,19.625
1995-10-18,19.625
1995-10-19,19.75
1995-10-20,20.5
1995-10-23,20.25
1995-10-24,20.375
1995-10-25,20.5
