Date,FNMA
1977-01-03,1.40625
1977-01-04,1.40625
1977-01-05,1.395833
1977-01-06,1.375
1977-01-07,1.364583
1977-01-10,1.375
1977-01-11,1.34375
1977-01-12,1.364583
1977-01-13,1.364583
1977-01-14,1.354167
1977-01-17,1.364583
1977-01-18,1.354167
1977-01-19,1.354167
1977-01-20,1.333333
1977-01-21,1.354167
1977-01-24,1.333333
1977-01-25,1.354167
1977-01-26,1.385417
1977-01-27,1.375
1977-01-28,1.375
1977-01-31,1.354167
1977-02-01,1.354167
1977-02-02,1.333333
1977-02-03,1.333333
1977-02-04,1.34375
1977-02-07,1.354167
1977-02-08,1.34375
1977-02-09,1.34375
1977-02-10,1.333333
1977-02-11,1.333333
1977-02-14,1.354167
1977-02-15,1.375
1977-02-16,1.375
1977-02-17,1.375
1977-02-18,1.375
1977-02-22,1.385417
1977-02-23,1.364583
1977-02-24,1.364583
1977-02-25,1.34375
1977-02-28,1.333333
1977-03-01,1.3125
1977-03-02,1.3125
1977-03-03,1.322917
1977-03-04,1.322917
1977-03-07,1.354167
1977-03-08,1.354167
1977-03-09,1.34375
1977-03-10,1.34375
1977-03-11,1.354167
1977-03-14,1.364583
1977-03-15,1.34375
1977-03-16,1.354167
1977-03-17,1.34375
1977-03-18,1.34375
1977-03-21,1.333333
1977-03-22,1.333333
1977-03-23,1.322917
1977-03-24,1.322917
1977-03-25,1.322917
1977-03-28,1.3125
1977-03-29,1.3125
1977-03-30,1.302083
1977-03-31,1.302083
1977-04-01,1.3125
1977-04-04,1.28125
1977-04-05,1.28125
1977-04-06,1.28125
1977-04-07,1.291667
1977-04-11,1.291667
1977-04-12,1.322917
1977-04-13,1.333333
1977-04-14,1.364583
1977-04-15,1.375
1977-04-18,1.34375
1977-04-19,1.34375
1977-04-20,1.354167
1977-04-21,1.333333
1977-04-22,1.3125
1977-04-25,1.333333
1977-04-26,1.333333
1977-04-27,1.354167
1977-04-28,1.364583
1977-04-29,1.354167
1977-05-02,1.333333
1977-05-03,1.333333
1977-05-04,1.333333
1977-05-05,1.333333
1977-05-06,1.302083
1977-05-09,1.3125
1977-05-10,1.3125
1977-05-11,1.3125
1977-05-12,1.302083
1977-05-13,1.3125
1977-05-16,1.322917
1977-05-17,1.322917
1977-05-18,1.322917
1977-05-19,1.322917
1977-05-20,1.333333
1977-05-23,1.322917
1977-05-24,1.322917
1977-05-25,1.28125
1977-05-26,1.291667
1977-05-27,1.302083
1977-05-31,1.302083
1977-06-01,1.3125
1977-06-02,1.302083
1977-06-03,1.3125
1977-06-06,1.28125
1977-06-07,1.28125
1977-06-08,1.28125
1977-06-09,1.3125
1977-06-10,1.302083
1977-06-13,1.322917
1977-06-14,1.333333
1977-06-15,1.3125
1977-06-16,1.322917
1977-06-17,1.3125
1977-06-20,1.333333
1977-06-21,1.354167
1977-06-22,1.375
1977-06-23,1.385417
1977-06-24,1.40625
1977-06-27,1.416667
1977-06-28,1.40625
1977-06-29,1.385417
1977-06-30,1.385417
1977-07-01,1.375
1977-07-05,1.395833
1977-07-06,1.395833
1977-07-07,1.395833
1977-07-08,1.385417
1977-07-11,1.375
1977-07-12,1.395833
1977-07-13,1.395833
1977-07-15,1.427083
1977-07-18,1.416667
1977-07-19,1.416667
1977-07-20,1.416667
1977-07-21,1.427083
1977-07-22,1.4375
1977-07-25,1.4375
1977-07-26,1.4375
1977-07-27,1.416667
1977-07-28,1.395833
1977-07-29,1.385417
1977-08-01,1.385417
1977-08-02,1.395833
1977-08-03,1.395833
1977-08-04,1.395833
1977-08-05,1.427083
1977-08-08,1.416667
1977-08-09,1.40625
1977-08-10,1.416667
1977-08-11,1.40625
1977-08-12,1.416667
1977-08-15,1.416667
1977-08-16,1.416667
1977-08-17,1.416667
1977-08-18,1.416667
1977-08-19,1.416667
1977-08-22,1.416667
1977-08-23,1.416667
1977-08-24,1.416667
1977-08-25,1.416667
1977-08-26,1.40625
1977-08-29,1.40625
1977-08-30,1.416667
1977-08-31,1.40625
1977-09-01,1.395833
1977-09-02,1.40625
1977-09-06,1.375
1977-09-07,1.364583
1977-09-08,1.333333
1977-09-09,1.333333
1977-09-12,1.34375
1977-09-13,1.333333
1977-09-14,1.34375
1977-09-15,1.34375
1977-09-16,1.34375
1977-09-19,1.34375
1977-09-20,1.333333
1977-09-21,1.333333
1977-09-22,1.322917
1977-09-23,1.322917
1977-09-26,1.34375
1977-09-27,1.34375
1977-09-28,1.333333
1977-09-29,1.34375
1977-09-30,1.364583
1977-10-03,1.34375
1977-10-04,1.354167
1977-10-05,1.354167
1977-10-06,1.364583
1977-10-07,1.375
1977-10-10,1.354167
1977-10-11,1.322917
1977-10-12,1.291667
1977-10-13,1.3125
1977-10-14,1.291667
1977-10-17,1.291667
1977-10-18,1.291667
1977-10-19,1.291667
1977-10-20,1.270833
1977-10-21,1.260417
1977-10-24,1.25
1977-10-25,1.25
1977-10-26,1.28125
1977-10-27,1.28125
1977-10-28,1.28125
1977-10-31,1.28125
1977-11-01,1.270833
1977-11-02,1.260417
1977-11-03,1.270833
1977-11-04,1.28125
1977-11-07,1.270833
1977-11-08,1.260417
1977-11-09,1.260417
1977-11-10,1.270833
1977-11-11,1.3125
1977-11-14,1.3125
1977-11-15,1.302083
1977-11-16,1.291667
1977-11-17,1.291667
1977-11-18,1.291667
1977-11-21,1.302083
1977-11-22,1.3125
1977-11-23,1.354167
1977-11-25,1.34375
1977-11-28,1.322917
1977-11-29,1.322917
1977-11-30,1.322917
1977-12-01,1.333333
1977-12-02,1.333333
1977-12-05,1.322917
1977-12-06,1.3125
1977-12-07,1.28125
1977-12-08,1.291667
1977-12-09,1.291667
1977-12-12,1.291667
1977-12-13,1.28125
1977-12-14,1.28125
1977-12-15,1.260417
1977-12-16,1.25
1977-12-19,1.229167
1977-12-20,1.239583
1977-12-21,1.25
1977-12-22,1.25
1977-12-23,1.270833
1977-12-27,1.260417
1977-12-28,1.25
1977-12-29,1.239583
1977-12-30,1.239583
1978-01-03,1.239583
1978-01-04,1.25
1978-01-05,1.239583
1978-01-06,1.239583
1978-01-09,1.229167
1978-01-10,1.239583
1978-01-11,1.21875
1978-01-12,1.239583
1978-01-13,1.239583
1978-01-16,1.25
1978-01-17,1.260417
1978-01-18,1.28125
1978-01-19,1.270833
1978-01-20,1.270833
1978-01-23,1.28125
1978-01-24,1.270833
1978-01-25,1.291667
1978-01-26,1.291667
1978-01-27,1.28125
1978-01-30,1.291667
1978-01-31,1.291667
1978-02-01,1.291667
1978-02-02,1.3125
1978-02-03,1.302083
1978-02-06,1.291667
1978-02-07,1.291667
1978-02-08,1.302083
1978-02-09,1.302083
1978-02-10,1.302083
1978-02-13,1.28125
1978-02-14,1.28125
1978-02-15,1.28125
1978-02-16,1.260417
1978-02-17,1.270833
1978-02-21,1.270833
1978-02-22,1.239583
1978-02-23,1.21875
1978-02-24,1.208333
1978-02-27,1.177083
1978-02-28,1.135417
1978-03-01,1.166667
1978-03-02,1.15625
1978-03-03,1.145833
1978-03-06,1.145833
1978-03-07,1.135417
1978-03-08,1.135417
1978-03-09,1.15625
1978-03-10,1.197917
1978-03-13,1.208333
1978-03-14,1.197917
1978-03-15,1.177083
1978-03-16,1.177083
1978-03-17,1.1875
1978-03-20,1.197917
1978-03-21,1.197917
1978-03-22,1.208333
1978-03-23,1.21875
1978-03-27,1.21875
1978-03-28,1.208333
1978-03-29,1.1875
1978-03-30,1.177083
1978-03-31,1.177083
1978-04-03,1.1875
1978-04-04,1.1875
1978-04-05,1.25
1978-04-06,1.229167
1978-04-07,1.229167
1978-04-10,1.239583
1978-04-11,1.239583
1978-04-12,1.260417
1978-04-13,1.28125
1978-04-14,1.270833
1978-04-17,1.270833
