Date,MOS
1988-01-26,11.5
1988-01-27,12.375
1988-01-28,12.5625
1988-01-29,12.25
1988-02-01,12.0
1988-02-02,12.0
1988-02-03,12.125
1988-02-04,12.3125
1988-02-05,12.375
1988-02-08,12.0
1988-02-09,11.875
1988-02-10,12.25
1988-02-11,12.375
1988-02-12,12.75
1988-02-16,13.25
1988-02-17,13.0625
1988-02-18,13.25
1988-02-19,14.25
1988-02-22,14.1875
1988-02-23,14.0
1988-02-24,13.875
1988-02-25,14.0625
1988-02-26,14.125
1988-02-29,15.125
1988-03-01,14.875
1988-03-02,15.1875
1988-03-03,15.0
1988-03-04,15.5
1988-03-07,15.9375
1988-03-08,15.9375
1988-03-09,15.875
1988-03-10,14.5625
1988-03-11,14.5
1988-03-14,15.0625
1988-03-15,15.9375
1988-03-16,15.6875
1988-03-17,15.75
1988-03-18,15.4375
1988-03-21,15.0
1988-03-22,14.875
1988-03-23,15.0
1988-03-24,14.375
1988-03-25,14.1875
1988-03-28,14.25
1988-03-29,15.0625
1988-03-30,14.9375
1988-03-31,15.0625
1988-04-04,15.0
1988-04-05,15.125
1988-04-06,15.8125
1988-04-07,16.0
1988-04-08,16.0
1988-04-11,15.75
1988-04-12,15.4375
1988-04-13,15.4375
1988-04-14,14.75
1988-04-15,14.75
1988-04-18,14.375
1988-04-19,14.4375
1988-04-20,14.5625
1988-04-21,14.75
1988-04-22,14.875
1988-04-25,15.25
1988-04-26,15.625
1988-04-27,15.3125
1988-04-28,15.125
1988-04-29,14.75
1988-05-02,14.875
1988-05-03,15.0
1988-05-04,14.75
1988-05-05,14.625
1988-05-06,14.5
1988-05-09,14.125
1988-05-10,14.0625
1988-05-11,13.3125
1988-05-12,13.8125
1988-05-13,14.5
1988-05-16,14.5
1988-05-17,14.6875
1988-05-18,14.3125
1988-05-19,14.125
1988-05-20,14.5
1988-05-23,14.125
1988-05-24,14.1875
1988-05-25,14.25
1988-05-26,14.3125
1988-05-27,14.25
1988-05-31,14.4375
1988-06-01,14.75
1988-06-02,15.0
1988-06-03,15.625
1988-06-06,16.0
1988-06-07,16.0625
1988-06-08,16.625
1988-06-09,17.0625
1988-06-10,17.0625
1988-06-13,17.1875
1988-06-14,18.5
1988-06-15,19.5
1988-06-16,19.125
1988-06-17,18.625
1988-06-20,18.9375
1988-06-21,19.625
1988-06-22,20.25
1988-06-23,20.8125
1988-06-24,20.6875
1988-06-27,20.5625
1988-06-28,20.0
1988-06-29,19.5625
1988-06-30,19.6875
1988-07-01,19.875
1988-07-05,20.4375
1988-07-06,20.75
1988-07-07,21.125
1988-07-08,20.625
1988-07-11,20.25
1988-07-12,19.9375
1988-07-13,19.875
1988-07-14,20.8125
1988-07-15,20.8125
1988-07-18,20.0
1988-07-19,19.5
1988-07-20,19.0
1988-07-21,19.3125
1988-07-22,18.75
1988-07-25,18.1875
1988-07-26,18.625
1988-07-27,18.1875
1988-07-28,18.5
1988-07-29,18.6875
1988-08-01,18.875
1988-08-02,19.0
1988-08-03,18.9375
1988-08-04,19.375
1988-08-05,19.625
1988-08-08,19.5625
1988-08-09,19.4375
1988-08-10,18.9375
1988-08-11,19.25
1988-08-12,19.1875
1988-08-15,18.6875
1988-08-16,18.9375
1988-08-17,18.9375
1988-08-18,19.25
1988-08-19,19.25
1988-08-22,18.9375
1988-08-23,19.1875
1988-08-24,19.5
1988-08-25,19.75
1988-08-26,20.125
1988-08-29,20.5
1988-08-30,20.5
1988-08-31,20.4375
1988-09-01,19.9375
1988-09-02,20.375
1988-09-06,20.4375
