Date,ALXN
1996-02-28,2.28125
1996-02-29,2.3125
1996-03-01,2.3125
1996-03-04,2.25
1996-03-05,2.28125
1996-03-06,2.1875
1996-03-07,2.21875
1996-03-08,2.09375
1996-03-11,2.15625
1996-03-12,2.15625
1996-03-13,2.09375
1996-03-14,2.09375
1996-03-15,2.1875
1996-03-18,2.09375
1996-03-19,2.09375
1996-03-20,2.09375
1996-03-21,2.09375
1996-03-22,2.09375
1996-03-25,2.09375
1996-03-26,2.125
1996-03-27,2.1875
1996-03-28,2.1875
1996-03-29,2.09375
1996-04-01,2.15625
1996-04-02,2.1875
1996-04-03,2.25
1996-04-04,2.21875
1996-04-08,2.21875
1996-04-09,2.1875
1996-04-10,2.21875
1996-04-11,2.1875
1996-04-12,2.1875
1996-04-15,2.1875
1996-04-16,2.21875
1996-04-17,2.15625
1996-04-18,2.1875
1996-04-19,2.15625
1996-04-22,2.1875
1996-04-23,2.15625
1996-04-24,2.15625
1996-04-25,2.21875
1996-04-26,2.15625
1996-04-29,2.21875
1996-04-30,2.21875
1996-05-01,2.25
1996-05-02,2.3125
1996-05-03,2.3125
1996-05-06,2.375
1996-05-07,2.53125
1996-05-08,2.75
1996-05-09,2.78125
1996-05-10,2.6875
1996-05-13,2.6875
1996-05-14,2.6875
1996-05-15,2.625
1996-05-16,2.625
1996-05-17,2.53125
1996-05-20,2.375
1996-05-21,2.46875
1996-05-22,2.5625
1996-05-23,2.5
1996-05-24,2.5
1996-05-28,2.515625
1996-05-29,2.46875
1996-05-30,2.46875
1996-05-31,2.59375
1996-06-03,2.46875
1996-06-04,2.46875
1996-06-05,2.53125
1996-06-06,2.46875
1996-06-07,2.46875
1996-06-10,2.46875
1996-06-11,2.484375
1996-06-12,2.46875
1996-06-13,2.46875
1996-06-14,2.5
1996-06-17,2.53125
1996-06-18,2.40625
1996-06-19,2.375
1996-06-20,2.375
1996-06-21,2.28125
1996-06-24,2.28125
1996-06-25,2.21875
1996-06-26,2.21875
1996-06-27,2.15625
1996-06-28,2.1875
1996-07-01,2.15625
1996-07-02,2.15625
1996-07-03,2.125
1996-07-05,2.0625
1996-07-08,1.96875
1996-07-09,1.90625
1996-07-10,1.84375
1996-07-11,1.65625
1996-07-12,1.59375
1996-07-15,1.5625
1996-07-16,1.578125
1996-07-17,1.59375
1996-07-18,1.625
1996-07-19,1.59375
1996-07-22,1.5
1996-07-23,1.59375
1996-07-24,1.5625
1996-07-25,1.5625
1996-07-26,1.59375
1996-07-29,1.5
1996-07-30,1.53125
1996-07-31,1.5
1996-08-01,1.53125
1996-08-02,1.5
1996-08-05,1.5625
1996-08-06,1.5625
1996-08-07,1.53125
1996-08-08,1.65625
1996-08-09,1.75
1996-08-12,1.75
1996-08-13,1.75
1996-08-14,1.75
1996-08-15,1.75
1996-08-16,1.75
1996-08-19,1.75
1996-08-20,1.734375
1996-08-21,1.75
1996-08-22,1.75
1996-08-23,1.78125
1996-08-26,1.90625
1996-08-27,1.96875
1996-08-28,2.0625
1996-08-29,2.0625
1996-08-30,2.125
1996-09-03,2.03125
1996-09-04,1.953125
1996-09-05,1.9375
1996-09-06,1.875
1996-09-09,1.8125
1996-09-10,1.84375
1996-09-11,1.84375
1996-09-12,1.84375
1996-09-13,1.8125
1996-09-16,1.875
1996-09-17,1.875
1996-09-18,1.875
1996-09-19,1.78125
1996-09-20,1.78125
1996-09-23,1.84375
1996-09-24,1.78125
1996-09-25,2.15625
1996-09-26,2.53125
1996-09-27,2.46875
1996-09-30,2.5
1996-10-01,2.53125
1996-10-02,2.5
1996-10-03,2.5625
1996-10-04,2.5
1996-10-07,2.46875
1996-10-08,2.5
1996-10-09,2.5
1996-10-10,2.46875
1996-10-11,2.46875
1996-10-14,2.5
1996-10-15,2.46875
1996-10-16,2.5
1996-10-17,2.46875
1996-10-18,2.46875
1996-10-21,2.5
1996-10-22,2.4375
1996-10-23,2.34375
1996-10-24,2.375
1996-10-25,2.375
1996-10-28,2.4375
1996-10-29,2.4375
1996-10-30,2.4375
1996-10-31,2.5
1996-11-01,2.46875
1996-11-04,2.375
1996-11-05,2.390625
1996-11-06,2.375
1996-11-07,2.375
1996-11-08,2.4375
1996-11-11,2.4375
1996-11-12,2.40625
1996-11-13,2.375
1996-11-14,2.40625
1996-11-15,2.375
1996-11-18,2.34375
1996-11-19,2.3125
1996-11-20,2.265625
1996-11-21,2.1875
1996-11-22,2.1875
1996-11-25,2.125
