Date,AJG
1984-06-20,1.84375
1984-06-21,1.78125
1984-06-22,1.78125
1984-06-25,1.75
1984-06-26,1.71875
1984-06-27,1.75
1984-06-28,1.75
1984-06-29,1.8125
1984-07-02,1.8125
1984-07-03,1.8125
1984-07-05,1.84375
1984-07-06,1.84375
1984-07-09,1.84375
1984-07-10,1.84375
1984-07-11,1.84375
1984-07-12,1.8125
1984-07-13,1.8125
1984-07-16,1.8125
1984-07-17,1.8125
1984-07-18,1.8125
1984-07-19,1.8125
1984-07-20,1.8125
1984-07-23,1.84375
1984-07-24,1.875
1984-07-25,1.875
1984-07-26,1.96875
1984-07-27,2.03125
1984-07-30,2.03125
1984-07-31,2.03125
1984-08-01,2.03125
1984-08-02,2.09375
1984-08-03,2.125
1984-08-06,2.15625
1984-08-07,2.15625
1984-08-08,2.21875
1984-08-09,2.21875
1984-08-10,2.25
1984-08-13,2.25
1984-08-14,2.25
1984-08-15,2.25
1984-08-16,2.28125
1984-08-17,2.34375
1984-08-20,2.375
1984-08-21,2.40625
1984-08-22,2.4375
1984-08-23,2.46875
1984-08-24,2.46875
1984-08-27,2.46875
1984-08-28,2.5
1984-08-29,2.625
1984-08-30,2.65625
1984-08-31,2.65625
1984-09-04,2.65625
1984-09-05,2.65625
1984-09-06,2.65625
1984-09-07,2.6875
1984-09-10,2.6875
1984-09-11,2.6875
1984-09-12,2.6875
1984-09-13,2.6875
1984-09-14,2.6875
1984-09-17,2.71875
1984-09-18,2.71875
1984-09-19,2.71875
1984-09-20,2.71875
1984-09-21,3.03125
1984-09-24,3.03125
1984-09-25,3.03125
1984-09-26,3.03125
1984-09-27,3.03125
1984-09-28,3.03125
1984-10-01,3.03125
1984-10-02,3.0625
1984-10-03,3.0625
1984-10-04,3.0625
1984-10-05,3.0625
1984-10-08,3.0625
1984-10-09,3.0625
1984-10-10,3.0625
1984-10-11,3.0625
1984-10-12,3.0625
1984-10-15,3.09375
1984-10-16,3.09375
1984-10-17,3.125
1984-10-18,3.125
1984-10-19,3.125
1984-10-22,3.125
1984-10-23,3.15625
1984-10-24,3.25
1984-10-25,3.34375
1984-10-26,3.25
1984-10-29,3.21875
1984-10-30,3.21875
1984-10-31,3.25
1984-11-01,3.28125
1984-11-02,3.28125
1984-11-05,3.28125
1984-11-06,3.28125
1984-11-07,3.3125
1984-11-08,3.375
1984-11-09,3.34375
1984-11-12,3.34375
1984-11-13,3.34375
1984-11-14,3.375
1984-11-15,3.375
1984-11-16,3.375
1984-11-19,3.375
1984-11-20,3.40625
1984-11-21,3.40625
1984-11-23,3.40625
1984-11-26,3.40625
1984-11-27,3.40625
1984-11-28,3.40625
1984-11-29,3.40625
1984-11-30,3.40625
1984-12-03,3.40625
1984-12-04,3.40625
1984-12-05,3.40625
1984-12-06,3.40625
1984-12-07,3.40625
1984-12-10,3.40625
1984-12-11,3.40625
1984-12-12,3.40625
1984-12-13,3.40625
1984-12-14,3.40625
1984-12-17,3.40625
1984-12-18,3.46875
1984-12-19,3.46875
1984-12-20,3.5
1984-12-21,3.5
1984-12-24,3.5
1984-12-26,3.5
1984-12-27,3.5
1984-12-28,3.5625
1984-12-31,3.71875
1985-01-02,3.71875
1985-01-03,3.75
1985-01-04,3.75
1985-01-07,3.75
1985-01-08,3.75
1985-01-09,3.71875
1985-01-10,3.6875
1985-01-11,3.71875
1985-01-14,3.71875
1985-01-15,3.71875
1985-01-16,3.71875
1985-01-17,3.71875
1985-01-18,3.75
1985-01-21,3.78125
1985-01-22,3.8125
1985-01-23,3.8125
1985-01-24,3.8125
1985-01-25,3.8125
1985-01-28,3.875
1985-01-29,3.875
1985-01-30,4.0625
1985-01-31,4.1875
1985-02-01,4.4375
1985-02-04,4.8125
1985-02-05,4.8125
1985-02-06,4.65625
1985-02-07,4.625
1985-02-08,4.625
1985-02-11,4.625
1985-02-12,4.625
1985-02-13,4.625
1985-02-14,4.65625
1985-02-15,4.65625
1985-02-19,4.65625
1985-02-20,4.65625
1985-02-21,4.625
1985-02-22,4.625
1985-02-25,4.5625
1985-02-26,4.59375
1985-02-27,4.59375
1985-02-28,4.59375
1985-03-01,4.625
1985-03-04,4.625
1985-03-05,4.625
1985-03-06,4.625
