Date,EVRG
1973-02-21,13.0625
1973-02-22,12.9375
1973-02-23,12.625
1973-02-26,12.8125
1973-02-27,12.8125
1973-02-28,12.625
1973-03-01,12.5625
1973-03-02,12.3125
1973-03-05,12.375
1973-03-06,12.375
1973-03-07,12.5
1973-03-08,12.5625
1973-03-09,12.375
1973-03-12,12.5
1973-03-13,12.375
1973-03-14,12.3125
1973-03-15,12.3125
1973-03-16,12.1875
1973-03-19,12.5
1973-03-20,12.5
1973-03-21,12.4375
1973-03-22,12.375
1973-03-23,12.375
1973-03-26,12.375
1973-03-27,12.4375
1973-03-28,12.375
1973-03-29,12.3125
1973-03-30,12.3125
1973-04-02,12.0625
1973-04-03,12.3125
1973-04-04,12.375
1973-04-05,12.375
1973-04-06,12.3125
1973-04-09,12.125
1973-04-10,12.3125
1973-04-11,12.4375
1973-04-12,12.3125
1973-04-13,12.3125
1973-04-16,12.5625
1973-04-17,12.5
1973-04-18,12.4375
1973-04-19,12.5625
1973-04-23,12.5
1973-04-24,12.375
1973-04-25,12.1875
1973-04-26,12.3125
1973-04-27,12.375
1973-04-30,12.375
1973-05-01,12.375
1973-05-02,12.25
1973-05-03,12.4375
1973-05-04,12.3125
1973-05-07,12.375
1973-05-08,12.4375
1973-05-09,12.375
1973-05-10,12.25
1973-05-11,12.25
1973-05-14,12.375
1973-05-15,12.4375
1973-05-16,12.375
1973-05-17,12.375
1973-05-18,12.375
1973-05-21,12.125
1973-05-22,12.0625
1973-05-23,11.9375
1973-05-24,12.0
1973-05-25,12.0625
1973-05-29,12.0625
1973-05-30,12.0
1973-05-31,12.125
1973-06-01,12.0625
1973-06-04,12.0
1973-06-05,12.1875
1973-06-06,12.3125
1973-06-07,12.4375
1973-06-08,12.375
1973-06-11,12.1875
1973-06-12,12.375
1973-06-13,12.4375
1973-06-14,12.4375
1973-06-15,12.1875
1973-06-18,12.1875
1973-06-19,12.3125
1973-06-20,12.1875
1973-06-21,12.1875
1973-06-22,12.4375
1973-06-25,12.3125
1973-06-26,12.25
1973-06-27,12.1875
1973-06-28,12.1875
1973-06-29,12.0
1973-07-02,11.75
1973-07-03,11.875
1973-07-05,12.0
1973-07-06,12.0625
1973-07-09,12.3125
1973-07-10,12.25
1973-07-11,12.5
1973-07-12,12.3125
1973-07-13,12.3125
1973-07-16,12.0625
1973-07-17,12.25
1973-07-18,12.125
1973-07-19,12.375
1973-07-20,12.25
1973-07-23,12.4375
1973-07-24,12.125
1973-07-25,12.125
1973-07-26,12.1875
1973-07-27,12.0625
1973-07-30,12.0625
1973-07-31,11.8125
1973-08-01,11.625
1973-08-02,11.4375
1973-08-03,11.375
1973-08-06,11.0
1973-08-07,11.0
1973-08-08,10.875
1973-08-09,11.0
1973-08-10,10.8125
1973-08-13,10.75
1973-08-14,10.8125
1973-08-15,10.8125
1973-08-16,10.9375
1973-08-17,10.9375
1973-08-20,10.875
1973-08-21,10.9375
1973-08-22,10.8125
1973-08-23,10.6875
1973-08-24,10.75
1973-08-27,10.8125
1973-08-28,10.8125
1973-08-29,11.125
1973-08-30,11.0625
1973-08-31,10.8125
1973-09-04,10.875
1973-09-05,10.75
1973-09-06,11.0625
1973-09-07,11.125
1973-09-10,11.25
1973-09-11,11.375
1973-09-12,11.1875
1973-09-13,11.25
1973-09-14,11.25
1973-09-17,10.9375
1973-09-18,11.25
1973-09-19,11.1875
