Date,TEL
2007-06-14,38.849998
2007-06-15,38.799999
2007-06-18,37.150002
2007-06-19,36.700001
2007-06-20,35.950001
2007-06-21,36.700001
2007-06-22,38.950001
2007-06-25,39.25
2007-06-26,39.5
2007-06-27,39.75
2007-06-28,39.599998
2007-06-29,39.060001
2007-07-02,39.970001
2007-07-03,39.66
2007-07-05,39.450001
2007-07-06,39.82
2007-07-09,40.299999
2007-07-10,39.0
2007-07-11,39.060001
2007-07-12,39.009997999999996
2007-07-13,39.470001
2007-07-16,39.299999
2007-07-17,38.860001000000004
2007-07-18,37.939999
2007-07-19,38.099998
2007-07-20,38.029999
2007-07-23,38.91
2007-07-24,38.400002
2007-07-25,38.470001
2007-07-26,37.560001
2007-07-27,36.950001
2007-07-30,36.049999
2007-07-31,35.82
2007-08-01,35.220001
2007-08-02,35.27
2007-08-03,35.09
2007-08-06,35.150002
2007-08-07,34.849998
2007-08-08,34.740002000000004
2007-08-09,33.73
2007-08-10,32.810001
2007-08-13,32.990002000000004
2007-08-14,32.450001
2007-08-15,32.959998999999996
2007-08-16,33.040001000000004
2007-08-17,35.099998
2007-08-20,34.950001
2007-08-21,34.669998
2007-08-22,34.860001000000004
2007-08-23,35.360001000000004
2007-08-24,36.27
2007-08-27,35.470001
2007-08-28,35.119999
2007-08-29,35.360001000000004
2007-08-30,34.959998999999996
2007-08-31,34.869999
2007-09-04,34.91
2007-09-05,34.689999
2007-09-06,35.23
2007-09-07,33.5
2007-09-10,33.200001
2007-09-11,33.040001000000004
2007-09-12,32.560001
2007-09-13,32.889998999999996
2007-09-14,33.060001
2007-09-17,33.139998999999996
2007-09-18,33.59
2007-09-19,33.07
2007-09-20,33.459998999999996
2007-09-21,33.450001
2007-09-24,33.389998999999996
2007-09-25,33.77
2007-09-26,34.540001000000004
2007-09-27,35.18
2007-09-28,35.43
2007-10-01,36.279999
2007-10-02,35.950001
2007-10-03,35.66
2007-10-04,35.900002
2007-10-05,36.049999
2007-10-08,37.119999
2007-10-09,36.73
2007-10-10,36.84
2007-10-11,36.650002
2007-10-12,37.0
2007-10-15,36.970001
2007-10-16,36.990002000000004
2007-10-17,36.900002
2007-10-18,36.880001
2007-10-19,36.240002000000004
2007-10-22,35.68
2007-10-23,35.119999
2007-10-24,34.560001
2007-10-25,34.040001000000004
2007-10-26,33.700001
2007-10-29,34.380001
2007-10-30,35.0
2007-10-31,35.669998
2007-11-01,35.169998
2007-11-02,35.369999
2007-11-05,33.759997999999996
2007-11-06,33.77
2007-11-07,32.990002000000004
2007-11-08,33.139998999999996
2007-11-09,32.57
2007-11-12,31.360001
2007-11-13,32.349998
2007-11-14,32.5
2007-11-15,33.099998
2007-11-16,35.02
2007-11-19,35.049999
2007-11-20,35.200001
2007-11-21,35.009997999999996
2007-11-23,35.43
2007-11-26,34.639998999999996
2007-11-27,34.48
2007-11-28,35.689999
2007-11-29,36.599998
2007-11-30,37.389998999999996
2007-12-03,37.259997999999996
2007-12-04,36.799999
2007-12-05,36.799999
2007-12-06,37.630001
2007-12-07,37.419998
2007-12-10,37.380001
2007-12-11,36.509997999999996
2007-12-12,37.139998999999996
2007-12-13,36.959998999999996
2007-12-14,36.540001000000004
2007-12-17,36.529999
2007-12-18,36.810001
2007-12-19,36.799999
2007-12-20,36.580002
2007-12-21,37.279999
2007-12-24,37.939999
2007-12-26,37.970001
2007-12-27,37.450001
2007-12-28,37.799999
2007-12-31,37.130001
2008-01-02,36.77
2008-01-03,36.68
2008-01-04,35.52
2008-01-07,34.259997999999996
2008-01-08,32.919998
2008-01-09,33.369999
2008-01-10,33.82
2008-01-11,33.419998
2008-01-14,34.32
2008-01-15,33.169998
2008-01-16,33.709998999999996
2008-01-17,32.709998999999996
2008-01-18,32.259997999999996
2008-01-22,31.74
2008-01-23,31.41
2008-01-24,32.610001000000004
2008-01-25,33.23
2008-01-28,33.360001000000004
2008-01-29,32.810001
2008-01-30,33.41
