num,List,2019/12/31,2018/12/31,PctChange,RankPoint
1,MMM,44659000 ,36500000 ,22.35342466,1
2,ABT,67887000 ,67173000 ,1.062927069,4
3,ABBV,89115000 ,59352000 ,50.1465831,1
4,ABMD,1216462 ,1054346 ,15.37597715,2
5,ACN,29789880 ,24449083 ,21.84456979,1
6,ATVI,19845000 ,17835000 ,11.26997477,2
7,ADBE,20762400 ,18768682 ,10.62257861,2
8,AMD,6028000 ,4556000 ,32.30904302,1
9,AAP,11248525 ,9040648 ,24.42166756,1
10,AES,33648000 ,32521000 ,3.465453092,4
11,AFL,152768000 ,140406000 ,8.804467046,3
12,A,9452000 ,8541000 ,10.66619834,2
13,APD,18942800 ,19178300 ,-1.22795034,5
14,AKAM,7006886 ,5461770 ,28.28965702,1
15,ALK,12993000 ,10912000 ,19.0707478,2
16,ALB,9860863 ,7581674 ,30.06181748,1
17,ARE,18390503 ,14464956 ,27.13832659,1
18,ALXN,17544600 ,13931900 ,25.93113646,1
19,ALGN,2500702 ,2052458 ,21.83937503,1
20,ALLE,2967200 ,2810200 ,5.586790976,3
21,ADS,26494800 ,30387700 ,-12.81077541,5
22,LNT,16700700 ,15426000 ,8.263321665,3
23,ALL,119950000 ,112249000 ,6.860640184,3
24,GOOGL,275909000 ,232792000 ,18.52168459,2
25,GOOG,275909000 ,232792000 ,18.52168459,2
26,MO,49271000 ,55638000 ,-11.44361767,5
27,AMZN,225248000 ,162648000 ,38.48802322,1
28,AMCR,17165000 ,8991521 ,90.90207319,1
29,AEE,28933000 ,27215000 ,6.312695205,3
30,AAL,59995000 ,60580000 ,-0.965665236,5
31,AEP,75892300 ,68802800 ,10.30408646,2
32,AXP,198321000 ,188602000 ,5.153179712,3
33,AIG,525064000 ,491984000 ,6.723795896,3
34,AMT,42801600 ,33010400 ,29.66095534,1
35,AWK,22682000 ,21223000 ,6.874617161,3
36,AMP,151828000 ,137216000 ,10.64890392,2
37,ABC,39171980 ,37669838 ,3.987651872,4
38,AME,9844559 ,8662288 ,13.6484841,2
39,AMGN,59707000 ,66416000 ,-10.10148157,5
40,APH,10815200 ,10044900 ,7.668568129,3
41,ADI,21392641 ,20449779 ,4.610621953,4
42,ANSS,4838887 ,3265964 ,48.16106362,1
43,ANTM,77453000 ,71571000 ,8.218412486,3
44,AON,29405000 ,26422000 ,11.28983423,2
45,AOS,3058000 ,3071500 ,-0.439524662,5
46,APA,18107000 ,21582000 ,-16.10138078,5
47,AIV,6828739 ,6190004 ,10.31881401,2
48,AAPL,338516000 ,365725000 ,-7.439742976,5
49,AMAT,19024000 ,17773000 ,7.038766669,3
50,APTV,13459000 ,12480000 ,7.844551282,3
51,ADM,43997000 ,40833000 ,7.748634683,3
52,ANET,4185290 ,3081983 ,35.79860758,1
53,AJG,19634800 ,16334000 ,20.20815477,1
54,AIZ,44291200 ,41089300 ,7.792539664,3
55,T,551669000 ,531864000 ,3.723696283,4
56,ATO,13367619 ,11874437 ,12.57476039,2
57,ADSK,6179300 ,4729200 ,30.66269136,1
58,ADP,41887700 ,37088700 ,12.93925104,2
59,AZO,9895913 ,9346980 ,5.872838072,3
60,AVB,19121051 ,18380200 ,4.030701516,4
61,AVY,5488800 ,5177500 ,6.012554322,3
62,BKR,53369000 ,52439000 ,1.773489197,4
63,BLL,17360000 ,16554000 ,4.868913858,4
64,BAC,2434079000 ,2354507000 ,3.379560987,4
65,BK,381508000 ,362873000 ,5.1354055,3
66,BAX,18193000 ,15641000 ,16.31609232,2
67,BDX,51765000 ,53904000 ,-3.968165628,5
68,BRK.B,0 ,0 ,NAN,0
69,BBY,15591000 ,12901000 ,20.85109681,1
70,BIIB,27234300 ,25288900 ,7.692703123,3
71,BLK,168622000 ,159573000 ,5.670758838,3
72,BA,133625000 ,117359000 ,13.8600363,2
73,BKNG,21402000 ,22687000 ,-5.664036673,5
74,BWA,9702000 ,10095300 ,-3.895872337,5
75,BXP,21284905 ,20256477 ,5.077032892,3
76,BSX,30565000 ,20999000 ,45.55455022,1
77,BMY,129944000 ,34986000 ,271.4171383,1
78,AVGO,67493000 ,50124000 ,34.65206288,1
79,BR,3880700 ,3304700 ,17.42972131,2
80,BF.B,,Beta,NAN,0
81,CHRW,4641060 ,4427412 ,4.825573044,4
82,COG,4487245 ,4198829 ,6.868962751,3
