num,List,2019/12/31,2018/12/31,PctCahnge,PctChange_RankPoint,TTM_RankPoint
1,MMM,6131000,5592000,9.638769671,4,5
2,ABT,3837000,3741000,2.566158781,4,4
3,ABBV,15060000,15017000,0.286342146,3,5
4,ABMD,241613,241613,0,3,1
5,ACN,6559867,6399933,2.498994911,3,5
6,ATVI,1718000,1744000,-1.490825688,2,3
7,ADBE,3371394,3085394,9.269480656,4,4
8,AMD,859000,717000,19.80474198,5,2
9,AAP,513755,636818,-19.32467361,1,1
10,AES,1064000,1523000,-30.13788575,1,3
11,AFL,-225000,-228000,-1.315789474,2,1
12,A,655000,851000,-23.03172738,1,2
13,APD,1820600,1776100,2.505489556,4,3
14,AKAM,584105,559128,4.467134538,4,2
15,ALK,1236000,1114000,10.95152603,4,3
16,ALB,621474,653906,-4.959734274,2,2
17,ARE,215763,113341,90.36623993,5,1
18,ALXN,2294600,1945400,17.95003598,5,4
19,ALGN,414253,478797,-13.48045205,1,1
20,ALLE,664400,544800,21.95301028,5,2
21,ADS,828700,1095600,-24.36108069,1,2
22,LNT,380200,373500,1.793842035,3,1
23,ALL,-327000,-327000,0,3,1
24,GOOGL,34283000,34458000,-0.507864647,2,5
25,GOOG,34283000,34458000,-0.507864647,2,5
26,MO,18557000,17602000,5.425519827,4,5
27,AMZN,12841000,12738000,0.808604176,3,5
28,AMCR,936000,841900,11.17709942,4,2
29,AEE,781000,789000,-1.013941698,2,2
30,AAL,2114000,3067000,-31.07270949,1,4
31,AEP,1455300,1517600,-4.105166052,2,3
32,AXP,30994000,30895000,0.320440201,3,5
33,AIG,48375000,48375000,0,3,5
34,AMT,2119600,1878800,12.81669151,5,4
35,AWK,1193000,1193000,0,3,3
36,AMP,12430000,12540000,-0.877192982,2,5
37,ABC,2385937,2704445,-11.77720383,1,4
38,AME,1049237,1108050,-5.30779297,2,2
39,AMGN,8265000,8385000,-1.431127013,2,5
40,APH,1468600,1558100,-5.744175598,2,3
41,ADI,1351748,1678885,-19.48537273,1,3
42,ANSS,502356,513371,-2.145621782,2,1
43,ANTM,108415000,103467000,4.782201088,4,5
44,AON,2012000,1861000,8.113917249,4,3
45,AOS,436100,436100,0,3,1
46,APA,7411000,3048000,143.1430446,5,5
47,AIV,-238565,-517536,-53.90368979,1,1
48,AAPL,62045000,59932000,3.525662417,4,5
49,AMAT,3403000,3113000,9.315772567,4,4
50,APTV,-123000,1407000,-108.7420043,1,1
51,ADM,1111000,1108000,0.270758123,3,3
52,ANET,800422,800422,0,3,2
53,AJG,470300,506100,-7.07370085,1,1
54,AIZ,9961900,9961900,0,3,5
55,T,23372000,23514000,-0.603895552,2,5
56,ATO,643988,639661,0.676452058,3,2
57,ADSK,284200,284200,0,3,1
58,ADP,3003100,2881000,4.238111767,4,4
59,AZO,2036350,2023937,0.613309604,3,3
60,AVB,451878,467524,-3.346566166,2,1
61,AVY,812400,1246300,-34.81505256,1,2
62,BKR,17820000,1973000,803.1931069,5,5
