,STOCKNAME,SMB,SMB_RANK,P/B,HML,HML_RANK,CMA_RANK,RMW_RANK,point
103,CMG,28.36,2,16.96,0.058962264,1,1,1,3
258,INTU,73.59,1,15.53,0.0643915,1,1,1,3
408,ROST,33.62,2,11.93,0.083822297,1,1,1,3
19,ALGN,19.53,3,6.84,0.14619883,2,1,1,4
78,AVGO,112.75,1,4.63,0.215982721,2,1,1,4
169,EA,33.67,2,4.51,0.22172949,2,1,1,4
254,IBM,108.11,1,5.41,0.184842884,2,1,1,4
79,BR,13.45,4,11.18,0.089445438,1,2,1,4
173,EFX,18.36,3,7.69,0.130039012,1,2,1,4
299,LOW,93.3,1,54.37,0.018392496,1,2,1,4
201,FTNT,22.23,3,41.45,0.024125452,1,1,2,4
356,ORLY,29.62,2,272.18,0.003674039,1,1,2,4
446,TJX,66.24,1,13.98,0.071530758,1,1,2,4
9,AAP,9.37,5,2.65,0.377358491,3,1,1,5
53,AJG,17.52,3,3.48,0.287356322,3,1,1,5
92,CBRE,14.73,4,2.4,0.416666667,3,1,1,5
452,TWTR,26.69,2,3.03,0.330033003,3,1,1,5
482,DIS,219.52,1,2.43,0.411522634,3,1,1,5
12,A,26.53,2,5.56,0.179856115,2,2,1,5
61,AVY,9.29,5,7.92,0.126262626,1,3,1,5
196,FLT,20.78,3,7.43,0.134589502,1,3,1,5
42,ANSS,23.02,3,6.99,0.143061516,2,1,2,5
186,FFIV,8.47,5,4.24,0.235849057,2,1,2,5
355,NVR,11.83,4,4.9,0.204081633,2,1,2,5
404,RHI,5.8,5,5.13,0.194931774,2,1,2,5
445,TIF,15.18,4,4.57,0.218818381,2,1,2,5
462,UPS,85.89,1,26.04,0.038402458,1,2,2,5
5,ACN,125.29,1,8.09,0.123609394,1,1,3,5
27,AMZN,1210,1,18.51,0.054024851,1,1,3,5
259,ISRG,65.86,1,7.74,0.129198966,1,1,3,5
295,LYV,10.7,4,12.45,0.080321285,1,1,3,5
406,ROL,12.78,4,15.97,0.062617408,1,1,3,5
447,TSCO,12.86,4,9.5,0.105263158,1,1,3,5
471,VRSK,26.04,2,12.51,0.079936051,1,1,3,5
95,CNC,37.35,2,1.59,0.628930818,4,1,1,6
121,CAG,16.05,4,2.06,0.485436893,4,1,1,6
191,FIS,84.4,1,1.72,0.581395349,4,1,1,6
195,FISV,70.46,1,2.21,0.452488688,4,1,1,6
204,FOXA,17.41,3,1.73,0.578034682,4,1,1,6
205,FOX,17.41,3,1.71,0.584795322,4,1,1,6
338,NEM,47.52,2,2.18,0.458715596,4,1,1,6
47,AIV,5.59,5,3.26,0.306748466,3,2,1,6
115,CMS,15.94,4,3.07,0.325732899,3,2,1,6
197,FLIR,5.93,5,3.48,0.287356322,3,2,1,6
363,PCAR,25.95,3,2.69,0.371747212,3,2,1,6
365,PH,23.03,3,3.66,0.273224044,3,2,1,6
448,TT,21.27,3,3.69,0.27100271,3,2,1,6
496,WYNN,9.16,5,7.37,0.13568521,2,3,1,6
116,KO,197.95,1,10.9,0.091743119,1,4,1,6
220,GWW,16.35,3,9.03,0.110741971,1,4,1,6
288,LVS,38.13,2,8.49,0.11778563,1,4,1,6
77,BMY,136.49,1,2.73,0.366300366,3,1,2,6
137,DHR,112.12,1,3.81,0.262467192,3,1,2,6
289,LEG,4.19,5,3.38,0.295857988,3,1,2,6
6,ATVI,53.93,2,4.14,0.241545894,2,2,2,6
24,GOOGL,968.69,1,4.76,0.210084034,2,2,2,6
25,GOOG,968.69,1,4.75,0.210526316,2,2,2,6
174,EQIX,58.24,2,6.72,0.148809524,2,2,2,6
245,IEX,12,4,5.38,0.185873606,2,2,2,6
372,PKI,10.86,4,3.93,0.254452926,2,2,2,6
380,PPG,23.59,3,5,0.2,2,2,2,6
230,HSY,26.68,2,15.97,0.062617408,1,3,2,6
297,LMT,111.37,1,32.32,0.030940594,1,3,2,6
317,MTD,18.31,3,59.77,0.016730801,1,3,2,6
442,TXN,108.13,1,13.98,0.071530758,1,3,2,6
502,ZBRA,13.59,4,7.87,0.127064803,1,3,2,6
